Balanced Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,,,,,,,
Sample_ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1098",42.8,5.63,12.2,20,0.35,3.63,8.2,2.27,2.06,,1.55,,,48.8,1.96,6.5,15.1,0.37,12.9,14.7,0.57,,,,0.8,1448.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-11",66.2,0.7,14.7,4.94,,0.78,1.98,3.71,5.19,,0.26,,,51.5,0.52,1.98,11.2,,14.5,19.3,0.33,,,,0.0001,1333.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1147",60.6,1,16,5.56,0.14,1.8,4.47,3.61,3.58,,0.18,1.8,,52.3,0.57,1.46,10.8,0.51,14.1,19.5,0.19,,,,0.2,1293.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1165",59.9,1.28,15.2,6.9,0.25,2.24,5.46,3.58,2.44,,0.38,1.8,,51.9,0.55,1.86,11.1,0.55,14.6,19.3,0.39,,,,0.2,1333.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1173",68.4,1.21,14.2,2.13,0.2,0.85,2.31,3.73,3.98,,0.18,1.9,,51.8,0.4,1.84,9.71,0.49,15.1,19.8,0.26,,,,0.2,1293.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1180",55.7,1.99,15.8,5.87,0.19,3.66,7.44,3.97,1.42,,0.38,1.8,,50.4,1.55,4.5,6.66,0.4,15.6,19,0.52,,,,0.2,1373.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1234",56.3,2.43,14,6.87,0.31,4.19,7.49,3.75,1.49,,0.44,1.8,,51,1.85,3.07,7.53,0.55,16.5,18.1,0.36,,,,0.2,1393.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1248",58.7,1.13,16.5,5.6,0.14,1.56,4.55,3.88,3.61,,0.25,1.8,,51.4,0.53,1.77,10.2,0.37,14.6,20,0.29,,,,0.2,1293.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1249",58.8,1.19,16.2,4.32,0.2,2.5,4.85,3.91,2.64,,0.25,1.8,,51.8,0.72,2.06,8.13,0.4,16.4,19.3,0.08,,,,0.2,1293.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1280",52.3,3.27,12.3,13.7,0.34,3.83,8.61,2.15,1.46,,0.46,,,51.2,0.92,1.95,11.9,0.54,14.3,19.1,0.22,,,,0.0001,1373.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1286",62.4,1.88,15.2,4.29,0.16,1.1,3.08,4.21,4.65,,0.52,2,,49.9,0.71,4.14,10.6,0.21,15.8,15.9,0.27,,,,0.5,1333.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-1287",57.2,1.2,15.7,6.58,0.19,2.13,5.31,3.85,2.51,,0.27,1.7,,50.4,0.75,3.38,11.6,0.4,14.1,18.4,0.33,,,,0.5,1333.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-802",48.7,0.69,17.2,9.69,0.09,8.51,11.6,2.63,0.44,,0.12,,,51.2,0.33,7.25,5.89,0.16,17.7,17.5,0.44,,,,0.8,1523.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-805",48.2,0.98,16.7,9.83,0.17,8.13,11.8,2.64,0.42,,0.23,,,50.5,0.55,7.06,5.25,0.13,16.5,18.9,0.33,,,,0.8,1473.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-808",47.8,1.21,15.9,11.3,0.25,7.17,11.5,2.77,0.55,,0.19,,,50.2,0.63,6.75,6.36,0.2,15.6,19.2,0.26,,,,0.8,1473.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-819",48.4,1.16,15.6,12.7,0.3,7.25,10.8,2.65,0.54,,0.16,,,50.7,0.64,6.1,7.5,0.18,16.5,17.6,0.36,,,,0.8,1473.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-869",49,2.13,14.3,14.6,0.11,5.12,8.73,3.11,1.14,,0.33,,,52.1,0.36,2.75,13.8,0.37,18.1,12.1,0.38,,,,0.8,1423.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-874",65.8,1.16,14.9,4.31,0.13,1.72,3.64,3.76,3.99,,0.53,,,51.8,0.55,2.03,10.8,0.58,14.4,19.2,0.26,,,,0.0001,1356.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-886",64.2,1.23,14.9,4.27,0.21,1.4,3.61,3.64,4.48,,0.47,,,51.8,0.52,1.9,10.1,0.49,14.2,20.1,0.4,,,,0.0001,1356.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-891",47.8,2.62,14,16.2,0.32,4.67,7.85,3.32,1.5,,0.53,,,51.3,0.53,3.75,17.1,0.53,20.2,5.98,0.13,,,,0.8,1423.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-911",59.4,1.44,12.8,11.6,0.34,1.83,5.44,3.56,2.26,,0.36,,,50.7,0.52,1.95,24,0.76,16.3,5.34,0.13,,,,0.8,1398.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-917",61.7,1.45,12.5,10.2,0.3,1.09,4.23,3.72,2.93,,0.64,,,50.9,0.46,1.31,25.1,1.03,16.5,4.45,0.02,,,,0.8,1373.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-934",49.1,1.62,16.2,13.5,0.25,6.13,8.38,3.22,0.96,,0.23,,,51.2,0.64,5.53,14.8,0.46,21.5,5.66,0.18,,,,0.8,1448.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-940",48.3,1.2,14.9,13.9,0.36,7.45,9.23,2.33,1.02,,0.25,,,52,0.67,5.18,10.7,0.33,18.9,11.8,0.06,,,,0.8,1448.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-944",60.8,1.2,13.2,10.1,0.28,2.02,4.81,3.5,2.42,,0.53,,,51.3,0.43,1.56,23.3,0.72,17.5,4.53,0.06,,,,0.8,1373.15,,,,,,
