Balanced Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,,,,,,,
Sample_ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2381,61.40,0.97,18.10,4.55,0.13,2.51,5.39,4.41,1.48,0.00,0.71,4.00,,50.60,0.56,3.89,8.13,0.30,15.70,19.60,0.42,0.01,0.03,,0.4,1272.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2387,58.80,0.82,18.70,5.79,0.17,2.67,5.80,4.79,1.42,0.00,0.68,4.40,,49.00,0.78,5.56,8.96,0.27,14.90,19.30,0.55,0.01,0.04,,0.7,1272.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2388,55.70,1.13,19.30,7.02,0.15,3.67,6.67,4.48,1.03,0.00,0.43,3.30,,48.20,1.16,7.00,8.86,0.22,14.40,19.30,0.60,0.01,0.08,,0.7,1297.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2389,50.40,1.46,18.00,9.84,0.17,5.45,9.65,3.52,0.62,0.00,0.31,2.20,,47.80,1.14,7.17,7.68,0.16,14.00,20.70,0.42,0.00,0.31,,0.4,1347.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2390,58.50,1.10,18.50,5.64,0.16,3.08,6.09,4.67,1.33,0.00,0.59,4.00,,50.10,0.77,4.31,7.79,0.30,15.80,19.70,0.47,0.02,0.00,,0.4,1292.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2391,53.70,1.71,18.00,8.52,0.18,4.33,7.87,4.13,0.86,0.00,0.31,2.90,,48.40,1.11,5.93,8.21,0.21,14.60,20.00,0.49,0.02,0.08,,0.4,1347.15,,,,,,
"Blatter, D.W., Carmichael, I.S.E. (2001)-Z-342-02",60.59,0.76,17.38,3.242806,0.06,1.79,4.3,4.27,1.88,0.04,,5.21,,51.06,0.62,3.16,6.18,0.12,15.78,20.82,0.27,,0.01,,0.1938,1223.15,,,,,,
"Blatter, D.W., Carmichael, I.S.E. (2001)-Z-342-08",64.58,0.68,16.98,3.628798,0.06,1.65,4.25,4.64,2.26,0.03,,2.53,,51.51,0.7,2.76,7.5,0.2,15.73,20.49,0.29,,0.03,,0.0548,1273.15,,,,,,
"Blatter, D.W., Carmichael, I.S.E. (2001)-Z-342-13",60.8,0.65,17.01,3.252826,0.05,2.42,5.03,4.22,1.79,0.04,,4.87,,51.43,0.66,3.03,6.76,0.15,15.98,20.98,0.29,,0.06,,0.171,1248.15,,,,,,
"Blatter, D.W., Carmichael, I.S.E. (2001)-Z-342-21",60.17,0.64,16.68,3.48477,0.09,2.14,4.64,4.28,1.8,0.02,,5.24,,53.32,0.48,2.25,5.92,0.15,16.91,20.73,0.28,,0.12,,0.2,1253.15,,,,,,
"Blatter, D.W., Carmichael, I.S.E. (2001)-Z-342-26",60.22,0.64,16.44,3.422726,0.04,2.05,4.62,4.12,1.79,0.03,,5.8,,51.99,0.61,2.81,6.57,0.14,16.35,20.26,0.28,,0.21,,0.228,1203.15,,,,,,
"Blatter, D.W., Carmichael, I.S.E. (2001)-Z-342-37",59.12,0.74,17.26,3.321804,0.06,2.06,4.34,4.64,1.91,,,4.53,,51.49,0.6,2.57,6.98,0.22,16.77,19.42,0.25,,0.24,,0.151,1248.15,,,,,,
"Blatter, D.W., Carmichael, I.S.E. (2001)-Z-348-06",62.35,0.73,16.06,3.640782,0.11,1.65,4.22,4.24,2.23,0.04,,3.91,,51.31,0.48,2.44,6.48,0.17,16.01,20.97,0.28,,0.33,,0.1172,1273.15,,,,,,
"Botcharnikov, R.E., Almeev, R.R., Koepke, J., Holtz, F. (2008)-B1 141",49.95,3.07,15.19,11.27,,5.8,11.12,2.7,0.31,,,0.8,,52.68,1.06,2.54,7.52,,17.3,19.44,0.26,0.03,,,0.2,1398.15,,,,,,
"Botcharnikov, R.E., Almeev, R.R., Koepke, J., Holtz, F. (2008)-B1 149",49.95,3.72,14.59,12.78,,5.14,10.16,2.95,0.38,,,0.6,,51.48,1.75,4.37,10.4,,14.44,18.18,0.4,0.05,,,0.2,1373.15,,,,,,
"Botcharnikov, R.E., Almeev, R.R., Koepke, J., Holtz, F. (2008)-B1 43",48.79,3.7,13.84,14.08,,4.93,10.01,2.97,0.35,,,1.9,,51.74,1.47,2.99,10.85,,15.17,18.63,0.25,0.01,,,0.2,1373.15,,,,,,
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)-A-12",48,0.8,16.5,7.7,,12.5,11.7,2.6,,0.2,,,,51.12,0.1,8.07,3.57,,17.95,17.26,0.77,,1.16,,1.5,1598.15,,,,,,
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)-A-13",48.3,0.4,15.4,8,,14,12.1,1.5,,0.3,,,,51.58,,7.28,3.75,,19.55,15.94,0.7,,1.2,,1.5,1623.15,,,,,,
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)-A-47",49.9,0.5,17.1,6.9,,10.6,13,1.8,,0.2,,,,52.16,0.37,6.3,3.2,,16.74,19.1,1.25,,0.88,,0.75,1523.15,,,,,,
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)-A-6",49.2,0.6,17.7,6.9,,10.6,12.5,2.5,,0.2,,,,51.36,0.3,7.1,3.5,,16.4,19.6,0.9,,0.84,,1,1533.15,,,,,,
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)-A-7",49.5,0.5,16.1,7.2,,12.2,12.7,1.6,,0.2,,,,51.82,,6.36,3.52,,18.8,17.75,0.4,,1.35,,1,1563.15,,,,,,
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)-B-15",49.6,0.7,16.1,7.2,,11.3,12.7,2.1,,0.3,,,,51.93,,5.97,3.54,,18,18.54,0.42,,1.6,,1,1558.15,,,,,,
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)-B-37",50.4,0.6,16.2,6.6,,10.7,13.2,2.1,,0.2,,,,51.9,0.3,6.11,3.24,,16.95,19.6,0.7,,1.2,,0.75,1533.15,,,,,,
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)-B-38",50,0.5,14.7,7.5,,12.2,13,1.8,,0.3,,,,52.11,,5.63,3.69,,18.88,17.77,0.31,,1.61,,1,1573.15,,,,,,
Conte et al. (2009),49.88,1,17.39,6,0.25,5.3,11.2,2.5,6,0,0.49,,,48.52,0.66,6.93,5.54,0.08,14.58,23.26,0.22,0,0,,0.0001,1433.15,,,,,,
Conte et al. (2009),49.31,0.82,16.5,8.2,0.26,7.1,9.5,2.1,5.7,0,0.49,,,48.63,0.62,8.02,5.61,0.15,14.19,22.59,0.42,0,0,,0.1,1493.15,,,,,,
Conte et al. (2009),49.42,0.79,17.91,8.1,0.2,6.3,7.8,2.4,6.6,0,0.46,,,48.52,0.61,6.69,5.73,0.11,14.36,22.45,0.43,0,0,,0.1,1493.15,,,,,,
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)-S-11",50.6,1.12,8.8,19.4,0.46,6.15,10.6,1.03,0.18,0.09,0.97,,,52.8,0.15,0.68,19.5,0.59,21.7,3.84,0.04,,0.35,,0.0001,1373.15,,,,,,
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)-S-19",51.1,1.32,10.8,18.2,0.41,3.83,10.3,1.45,0.22,0.05,0.83,,,52,0.17,1.12,22.3,0.61,17.9,5.82,0.02,,0.18,,0.2,1233.15,,,,,,
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)-S-21",51.4748,1.0374,8.28932,18.8708,0.66196,5.3846,11.1644,0.86944,0.1482,0.05928,0.8398,,,52.7,0.13,0.64,18.6,0.85,19.3,7.11,0.04,,0.33,,0.2,1330.15,,,,,,
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)-S-8",52.472,0.92763,11.5251,14.1487,0.33732,2.811,8.6204,1.13377,0.24362,0.00937,1.35865,6.3,,51.9,0.32,1.32,14.6,0.49,13.8,17,0.12,,0.14,,0.0001,1398.15,,,,,,
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)-Sx-23",58.2505,0.62645,13.3705,9.8175,0.2618,1.84195,6.85355,1.7017,0.38335,0.00935,0.51425,6.5,,50.1,0.38,2.13,19.2,0.6,12.7,13.9,0.09,,0.07,,0.0001,1443.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-14-1",49.61,0.86,17,4.86,0.15,6.18,10.52,2.61,2.15,0.04,,2,,52.1,0.63,6.33,4.62,0.07,14.3,19.8,0.52,0.33,0.17,,0.405,1423.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-14-2",48.66,0.85,16.35,6,0.15,6.2,10.46,2.48,2.16,0.03,,2.5,,51.3,0.36,3.63,5.13,0.13,15.9,21.1,0.26,0.05,0.14,,0.405,1423.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-15-1",47.64,0.82,15.16,7.49,0.18,6.55,11.51,2.29,1.83,0.05,,2.7,,53.2,0.38,2.98,4.45,0.03,16.3,23.6,0.21,0.07,0.28,,0.209,1373.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-16-6",47.73,0.81,15.26,7.65,0.18,6.29,10.73,2.32,1.54,0.02,,3.5,,53.7,0.27,2.54,3.94,0.04,16.3,23.8,0.17,0.11,0.33,,0.308,1373.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-18-1",51.2,1.05,16.52,7.86,0.17,4.89,9.39,2.98,2.54,0.03,,2.4,,49.8,0.69,4.94,6.3,0.19,15,21.5,0.37,0.15,0.17,,0.1,1373.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-19-4",48.74,0.81,14.63,7.25,0.16,7.14,11.69,2.28,1.76,0.04,,3.6,,51.1,0.48,4.32,4.74,0.1,15.6,22.5,0.3,0.08,0.52,,0.2,1373.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-21-4",49.36,0.88,15.41,6.68,0.12,6.72,10.94,2.43,1.9,0.02,0.68,2.6,,48.6,0.67,7.11,6.43,0.12,14,21.3,0.47,0.16,0.28,,0.4,1423.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41001",46.56,0.68,15.71,6.69,0.09,7.47,11.59,2.24,1.8,0.05,0.56,2.8,,48.9,0.45,5.38,5.6,0.12,15.3,21.9,0.34,0.09,0.38,,0.4168,1448.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41031",47.31,0.79,16.54,5.57,0.11,6.59,10.44,2.37,1.97,0.03,0.71,3.9,,50.2,0.57,5.02,4.5,0.11,15.6,22.1,0.28,0.11,0.3,,0.4028,1398.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41060",50.17,0.9,17.99,5.77,0.17,4.99,9.16,2.8,2.41,0.02,0.79,2.6,,49.5,0.79,7.57,6.52,0.24,14.4,20.9,0.54,0.2,0.11,,0.4043,1373.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41063",48.45,0.79,15.25,6.17,0.23,6.58,10.79,2.29,1.79,0.04,0.61,4.3,,50.6,0.56,4.6,5.03,0.13,15.8,22.8,0.27,0.06,0.25,,0.4043,1373.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41090",49.14,0.9,18.09,6.04,0.16,4.9,8.91,2.75,2.38,,,2.9,,48.8,0.83,7.33,6.44,0.19,14.2,21.4,0.47,0.24,0.1,,0.4082,1348.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41091",48.72,0.87,17.54,6.4,0.16,5.16,9.27,2.6,2.1,,,3.3,,49.9,0.71,6.39,6.37,0.13,14.9,21.1,0.43,0.18,0.09,,0.4082,1348.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41092",47.68,0.8,16.62,6.56,0.14,5.09,9.66,2.36,1.43,,,5,,49.6,0.62,5.28,5.52,0.13,15.2,22.7,0.33,0.11,0.17,,0.4082,1348.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41093",47.95,0.83,16.07,6.56,0.13,5.34,9.66,2.26,1.44,0.02,,5.2,,48.9,0.84,6.02,5.99,0.16,14.6,22.7,0.28,0.06,0.15,,0.4082,1348.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41182",50.63,1.01,17.23,7.77,0.15,4.15,7.53,3.12,3.11,0.01,0.99,2.2,,48.8,0.73,8.05,7.83,0.19,13,17.8,0.83,0.51,0.09,,0.3994,1373.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41216",51.29,0.99,18.49,7.06,0.16,3.17,7.11,3.32,3.23,,,2.5,,50.1,0.69,6.24,8.11,0.2,14.6,19.7,0.46,0.17,0.12,,0.3931,1323.15,,,,,,
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)-41243",51.07,1.13,15.84,7.73,0.19,4.2,8.63,3.02,3.18,0.03,0.91,1.2,,50.5,0.77,6.38,6.87,0.12,13.8,19.9,0.56,0.4,0.04,,0.0484,1373.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DD-14",55.9,2.65,12.37,11.9,0.21,3.42,8.02,2.41,0.99,,0.28,,,50.9,0.46,2.18,14.77,0.4,19.11,9.95,0.11,,,,0.0001,1423.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-21",48.7,1.04,17.82,10.31,0.16,6.93,9.3,3.14,1.04,,0.21,,,50.8,0.56,8.04,8.18,0.18,17.11,15.21,0.52,,,,1,1523.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-24",50.2,1.09,18.61,10.46,0.18,5.68,8.18,3.32,1.71,,0.22,,,49.1,1.08,7.17,9.54,0.27,15.82,15.52,0.53,,,,1,1498.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-26",49.2,0.9,18.05,9.91,0.2,7.96,10.19,2.67,0.72,,0.18,,,51.6,0.57,6.23,7.63,0.22,18.38,15.29,0.37,,,,1,1548.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-30",52.8,0.99,19.83,9.05,0.14,4.56,6.45,4.2,2.33,,0.38,,,49.4,0.74,7.29,9.83,0.23,15.22,15.44,0.76,,,,1.5,1548.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-34",47.8,1.19,18.29,10.36,0.19,5.84,8.07,3.5,1.28,,0.3,,,49.1,0.48,8.6,8.8,0.23,17.38,13.39,0.61,,,,1.5,1598.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-36",48.8,0.91,19.14,9.48,0.16,6.76,8.78,3.59,0.99,,0.24,,,50.4,0.29,9.96,6.47,0.18,17.5,14.28,0.68,,,,1.5,1648.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-42",48.9,0.68,17.95,8.94,0.18,8.87,9.72,2.85,0.82,,0.14,,,48.5,0.29,12.05,6.02,0.17,16.16,14.1,1,,,,2,1698.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-43",49.1,0.68,17.81,8.65,0.16,8.23,9.37,3.1,0.82,,0.16,,,49.4,0.34,12.83,6.24,0.16,15.17,14.8,1.31,,,,2,1673.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-44",47.5,0.95,20.03,9.12,0.15,5.63,6.46,3.76,2.65,,1.13,,,48.6,0.77,7.33,10.14,0.24,15.21,14.6,0.74,,,,1.5,1523.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-47",52,0.99,18.22,7.69,0.1,4.25,6.2,4.82,2.3,,0.3,,,48.6,0.54,10.96,7.26,0.14,13.46,14.92,1.6,,,,2,1573.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-48",50.4,1.05,18.27,9.87,0.16,5.8,7.51,3.91,1.58,,0.24,,,49.4,0.53,9.27,8.77,0.21,16.36,13.84,0.76,,,,1.5,1573.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-51",48.6,0.89,17.68,9.48,0.18,7.98,9.52,2.95,0.81,,0.21,,,50,0.39,9.88,6.96,0.2,17.17,14.08,0.69,,,,1.5,1638.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-53",50.2,0.87,18.61,9.83,0.18,8.12,9.59,2.91,0.75,,0.17,,,49.9,0.34,9.6,6.65,0.19,18.38,13.15,0.63,,,,1.5,1623.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-54",50.4,0.85,17.86,9.17,0.15,7.76,9.29,3.03,0.98,,0.21,,,48.6,0.46,11.78,6.81,0.16,14.35,14.9,1.34,,,,2,1648.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-55",48.3,0.76,17.33,9.05,0.17,8.95,9.91,2.57,0.71,,0.14,,,49.2,0.32,11.25,5.92,0.17,16.34,13.95,0.89,,,,2,1723.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-56",51,0.94,17.68,8.9,0.12,6.14,8.18,3.68,1.38,,0.25,,,50.2,0.52,11.52,7.03,0.15,14.22,14.9,1.6,,,,2,1623.15,,,,,,
"Draper, D.S., Johnston, A.D. (1992)-DPI-58",50.5,0.93,18.82,9.36,0.12,4.88,7.62,4.2,1.69,,0.44,,,50.1,0.53,11.13,6.7,0.15,13.91,15.51,1.71,,,,2,1598.15,,,,,,
"Elkins-Tanton, L.T., and Grove, T.L. (2003)-SYNWC-1-10",42.03,1.32,12.81,9.05,0.17,12.54,11.73,3.1,3.57,0.18,0.22,,,49.88,0.33,8.1,3.21,0.12,16.04,19.95,0.83,,1.21,,2.4,1703.15,,,,,,
"Elkins-Tanton, L.T., and Grove, T.L. (2003)-SYNWC-1-14",43.23,1.2,13.61,8.65,0.17,11.39,11.03,3.25,2.92,0.17,0.74,,,51.16,0.37,7.15,3.42,0.05,16.94,19.03,0.74,,1.32,,2,1713.15,,,,,,
"Elkins-Tanton, L.T., and Grove, T.L. (2003)-SYNWC-1-16",43.73,1.41,13.71,8.52,0.13,12.92,11.22,2.62,3.18,0.17,0.71,,,51.42,0.34,7.71,3.42,0.13,17.24,18.74,0.91,,1.06,,2.8,1713.15,,,,,,
"Elkins-Tanton, L.T., and Grove, T.L. (2003)-SYNWC-1-24",40.16,1.92,12.98,10.02,0.15,9.46,7.67,3.93,6.45,0.03,1.92,,,49.96,0.62,10.38,2.87,0.09,15.06,20.3,1.14,,0.52,,3.3,1723.15,,,,,,
"Elkins-Tanton, L.T., and Grove, T.L. (2003)-SYNWC-1+H2O-2",45.66,1.12,16.02,7.84,0.13,10.27,9.25,2.41,2.24,0.1,0.77,,,51.28,0.26,8.1,4.64,0.07,17.45,17.15,1.08,,0.43,,2,1623.15,,,,,,
"Elkins-Tanton, L.T., and Grove, T.L. (2003)-SYNWC-1+H2O-3",48.13,1.31,16.21,7.74,0.13,7.66,7.81,2.9,2.91,0.09,0.88,,,52.31,0.35,7.84,5.42,0.09,16.82,16.35,1.31,,0.3,,3,1673.15,,,,,,
"Elkins-Tanton, L.T., and Grove, T.L. (2003)-SYNWC-1+H2O-3",48.13,1.31,16.21,7.74,0.13,7.66,7.81,2.9,2.91,0.09,0.88,,,52.31,0.35,7.84,5.42,0.09,16.82,16.35,1.31,,0.3,,3,1673.15,,,,,,
"Elkins-Tanton, L.T., Draper, D.S., Agee, C.B., Jewell, J., Thorpe, A., Hess, P.C. (2007)-A30",34.34,9.31,4.66,17.34,,15.01,10.73,2.43,4.15,,1.96,,,53.12,0.79,4.56,6.26,,19.88,14.26,1.19,0.06,,,3.5,1773.15,,,,,,
"Elkins-Tanton, L.T., Draper, D.S., Agee, C.B., Jewell, J., Thorpe, A., Hess, P.C. (2007)-A34",36.9,7.33,4.26,16.98,,17.26,10.39,2.15,3.18,,1.4,,,53.78,0.56,3.71,6.03,,21.43,13.04,1.04,,,,3.5,1873.15,,,,,,
Fabbrizio and Carrol 2008-1O,63.75,0.16,20.01,1.96,0.18,0.07,1.15,6.89,5.82,0.00,0.00,9.15,,45.20,1.71,4.74,19.99,1.86,3.54,21.02,0.88,0.11,0.00,,0.15,1048.15,,,,,,
Fabbrizio and Carrol 2008-1P,62.27,0.22,19.06,1.94,0.23,0.11,1.48,7.96,6.72,0.00,0.00,5.45,,46.53,1.22,4.52,15.86,1.62,6.15,20.73,0.97,0.30,0.00,,0.15,1073.15,,,,,,
Fabbrizio and Carrol 2008-1R,64.30,0.20,20.54,2.44,0.34,0.10,1.20,5.28,5.59,0.00,0.00,7.01,,46.48,0.90,3.26,16.73,1.98,5.85,20.72,1.04,0.18,0.00,,0.1,1063.15,,,,,,
Fabbrizio and Carrol 2008-1T,62.08,0.36,18.79,2.02,0.30,0.15,1.77,7.83,6.70,0.00,0.00,5.70,,50.34,0.35,2.67,8.20,0.42,12.93,22.84,0.49,0.02,0.00,,0.15,1098.15,,,,,,
Fabbrizio and Carrol 2008-3-,59.66,0.30,17.93,1.75,0.05,0.31,2.63,9.17,8.20,0.00,0.00,3.30,,46.91,0.80,5.54,10.28,0.36,11.66,23.30,0.49,0.03,0.00,,0.2,1153.15,,,,,,
Fabbrizio and Carrol 2008-38B,64.86,0.24,18.93,1.67,0.15,0.18,1.75,5.48,6.74,0.00,0.00,6.59,,44.79,0.98,6.48,16.15,0.60,6.46,22.56,0.40,0.05,0.00,,0.15,1098.15,,,,,,
Fabbrizio and Carrol 2008-38E,67.05,0.09,17.68,1.15,0.13,0.08,1.46,6.62,5.74,0.00,0.00,7.67,,45.33,1.31,6.94,11.93,0.53,9.81,22.72,0.61,0.02,0.00,,0.2,1048.15,,,,,,
Fabbrizio and Carrol 2008-38H,65.62,0.18,18.36,1.47,0.17,0.12,1.39,6.14,6.55,0.00,0.00,6.74,,49.26,0.62,3.89,10.58,0.58,11.48,22.61,0.41,0.02,0.00,,0.15,1073.15,,,,,,
Fabbrizio and Carrol 2008-38I,64.30,0.17,19.13,1.47,0.17,0.12,1.72,6.39,6.53,0.00,0.00,6.17,,46.39,0.87,5.15,15.48,0.86,7.15,22.41,0.56,0.03,0.00,,0.2,1073.15,,,,,,
"Falloon, T.J., Danyushevsky, L.V. (2000)-T-4302",47.8,0.63,15.5,8.4,0.22,13.46,12.5,1.15,0.21,0.21,0.02,,,51.9,,6.3,4.61,,21.6,13.8,0.3,,1.5,,1.5,1673.15,,,,,,
"Falloon, T.J., Danyushevsky, L.V., Green, D.H. (2001)-T-4126",50,0.54,15.8,7.3,0.15,11.62,13.1,1.18,,0.38,,,,53,0.11,4.5,5.1,0.2,24.7,10.9,0.16,,1.5,,1,1587.15,,,,,,
"Falloon, T.J., Danyushevsky, L.V., Green, D.H. (2001)-T-4276",50.6,0.73,17.1,8.37,,9.2,11.8,2.05,,0.15,,,,52.3,0.21,5.5,5.3,,19.9,16,0.26,,1,,1,1593.15,,,,,,
"Falloon, T.J., Danyushevsky, L.V., Green, D.H. (2001)-T-4283",50.7,0.68,15.8,8,,10.3,12.34,1.86,,0.25,,,,52.9,0.16,4.6,5,,20.9,15.1,0.32,,1.1,,1,1611.15,,,,,,
"Falloon, T.J., Danyushevsky, L.V., Green, D.H. (2001)-T-4324",49.2,0.46,15.9,8.41,0.1,11.6,12.1,1.65,,0.3,,,,51.5,0.24,6.1,5.1,0.1,20.5,14.9,0.35,,1.6,,1,1598.15,,,,,,
"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999)-T-4254",50.86,1.37,18.57,7.39,0.23,7.87,9.62,4.04,,0.06,,,,51.51,0.57,6.41,4.31,0.3,18.47,17.08,0.56,,0.98,,1,1543.15,,,,,,
"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999)-T-4256",50.2,0.59,14.6,6.9,0.13,13.2,12.8,1.12,,0.5,,,,52.1,0.19,4.93,3.32,0.13,20.49,16.59,0.27,,1.97,,1,1623.15,,,,,,
"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999)-T-4262",48.4,0.65,14.4,7.7,0.15,14.45,12.6,1.25,,0.38,,,,51.57,0.12,6.42,3.76,,20.56,15.43,0.44,,1.71,,1.5,1673.15,,,,,,
"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999)-T-4267",51.3,1.7,18.7,6.3,,7.8,9.5,4.5,,0.1,,,,51.6,0.42,7.3,3.7,,18.4,17,0.46,,1.2,,1,1548.15,,,,,,
"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999)-T-4271",48.9,0.98,17.5,7,,11.5,10.57,3.4,,0.11,,,,51.64,0.38,8.16,3.97,,19.66,14.85,0.66,,0.75,,1.5,1623.15,,,,,,
"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999)-T-4280",50.1,0.76,16.93,6.44,,11.19,12.18,2.15,,0.2,,,,51.7,0.23,6.1,3.6,,19.7,16.7,0.3,,1.74,,1,1598.15,,,,,,
"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999)-T-4293",49.1,1.08,18.1,6.9,,10.6,10.3,3.8,,,,,,51.84,0.25,7.19,3.7,,19,16.41,0.8,,0.82,,1.5,1598.15,,,,,,
"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999)-T-4332",48.1,0.92,16.24,7.62,0.16,12.9,12.17,1.71,,0.22,,,,51.1,0.2,7.09,4.11,0.04,20.42,15.19,0.46,,1.4,,1.5,1648.15,,,,,,
"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999)-T-4337",49.6,0.69,16.45,6.73,0.16,11.73,12.68,1.73,,0.23,,,,51.9,0.18,5.7,3.9,0.11,20.7,15.8,0.33,,1.4,,1,1603.15,,,,,,
"Falloon, T.J., Green, D.H., O'Neill, H.St.C., Hibberson, W.O. (1997)-C-157",58.34,,17.4,3.3,,5.9,4.62,10.1,0.29,,,,,56.4,,1.6,2.1,,23.6,16.1,0.3,,,,1,1523.15,,,,,,
"Falloon, T.J., Green, D.H., O'Neill, H.St.C., Hibberson, W.O. (1997)-T-4239",54.8,1.14,18.5,5.8,0.04,6,6.6,7.2,,0.03,,,,52.38,0.58,5.4,4.3,0.05,18.5,17,0.93,,0.84,,1,1523.15,,,,,,
"Falloon, T.J., Green, D.H., O'Neill, H.St.C., Hibberson, W.O. (1997)-T-4248",52.76,1.4,18.7,6.29,0.07,6.82,8.2,5.7,,0.05,,,,51.34,0.43,6.3,4.06,0.12,18.7,17.2,0.69,,1.11,,1,1533.15,,,,,,
"Falloon, T.J., Green, D.H., O'Neill, H.St.C., Hibberson, W.O. (1997)-T-4249",51.4,0.66,16.43,6.1,0.12,10.72,11.6,2.67,,0.29,,,,51.62,0.26,5.66,3.48,0.1,20.57,16.4,0.37,,1.55,,1,1583.15,,,,,,
