Initial Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,
Author - year - id,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K
"Kinzler, R.J., Grove, T.L. (1992)-H176",47.30,1.25,16.50,7.73,0.18,11.80,10.90,2.98,0.13,,0.15,,,52.90,0.35,7.40,5.20,0.17,23.10,11.60,0.55,,0.12,,1.6,1603.15
"Kinzler, R.J., Grove, T.L. (1992)-H177",46.90,2.56,17.70,11.50,0.28,6.39,7.90,5.05,0.40,,0.40,,,50.80,0.98,6.97,7.58,0.19,18.30,14.20,0.59,,0.15,,1.1,1528.15
"Kinzler, R.J., Grove, T.L. (1992)-H178",48.80,1.13,16.00,8.51,0.19,11.40,10.80,2.72,0.13,0.04,0.11,,,51.90,0.48,7.25,6.05,0.18,21.50,12.40,0.48,,0.19,,1.3,1568.15
"Kinzler, R.J., Grove, T.L. (1992)-H179",47.40,1.64,18.60,11.60,0.13,7.07,8.36,5.12,0.27,,0.34,,,50.20,0.63,10.50,7.90,0.15,18.90,10.30,1.23,,0.06,,1.6,1593.15
"Kinzler, R.J., Grove, T.L. (1992)-H181",47.80,1.98,18.50,11.80,0.14,5.70,7.38,5.94,0.37,0.02,0.40,,,50.20,0.85,8.76,7.86,0.18,18.40,13.00,0.75,,0.12,,1.3,1553.15
"Kinzler, R.J., Grove, T.L. (1992)-H184",48.70,1.24,17.70,8.14,0.17,9.56,10.50,3.14,0.14,0.03,0.13,,,51.30,0.58,7.01,5.80,0.16,19.90,14.30,0.50,,0.18,,1.1,1533.15
"Kinzler, R.J., Grove, T.L. (1992)-H185",47.10,0.58,16.60,7.75,0.19,12.00,10.70,2.39,0.12,0.03,0.04,,,51.60,0.25,8.87,5.12,0.15,21.80,11.90,0.55,,0.08,,1.6,1623.15
"Kinzler, R.J., Grove, T.L. (1992)-H193",47.50,1.22,16.00,8.46,0.19,11.70,10.70,3.03,0.15,0.03,0.13,,,52.50,0.31,7.48,5.94,0.15,23.50,10.40,0.58,,0.09,,1.6,1618.15
"Kinzler, R.J., Grove, T.L. (1992)-H195",48.00,0.66,18.90,8.22,0.18,9.36,10.60,2.76,0.11,0.02,0.07,,,51.40,0.33,8.17,5.56,0.17,21.00,13.20,0.47,,0.08,,1.3,1573.15
"Kinzler, R.J., Grove, T.L. (1992)-H196",48.10,0.66,18.30,8.28,0.20,9.70,10.70,2.72,0.10,0.03,0.07,,,51.20,0.36,8.44,5.54,0.15,20.30,14.10,0.52,,0.08,,1.3,1558.15
"Kinzler, R.J., Grove, T.L. (1992)-H199",48.10,1.77,17.60,10.40,0.11,7.83,7.69,5.61,0.36,0.03,0.36,,,51.30,0.53,9.15,7.15,0.19,20.60,10.80,0.93,,0.08,,1.6,1598.15
"Kinzler, R.J., Grove, T.L. (1992)-H200",47.30,1.42,17.80,9.92,0.16,8.90,9.94,3.86,0.22,0.03,0.32,,,51.50,0.49,8.97,6.53,0.18,20.90,11.10,0.74,,0.08,,1.6,1613.15
"Kinzler, R.J., Grove, T.L. (1992)-H251",49.90,0.74,16.60,8.58,0.21,8.49,10.50,2.84,0.12,0.02,0.06,,,53.20,0.38,4.71,6.81,0.15,20.50,14.30,0.31,,0.09,,0.9,1523.15
"Kjarsgaard, B.A. (1998)-BK208",41.87,2.21,14.63,7.83,0.21,0.96,12.69,8.93,3.38,,0.16,,,50.97,0.98,1.53,9.88,0.33,11.03,22.57,1.74,,,,0.515,1273.15
"Kjarsgaard, B.A. (1998)-BK311",49.80,0.38,18.11,3.29,0.25,0.38,3.72,10.49,6.88,,,,,48.89,0.57,4.79,11.70,0.62,10.42,20.19,2.20,,,,0.205,1173.15
"Kjarsgaard, B.A. (1998)-BK358",48.59,0.88,19.21,4.97,0.17,0.22,3.48,10.86,5.05,,,,,50.03,0.63,0.90,16.58,0.60,7.86,19.25,3.17,,,,0.5,1198.15
"Koester, E., Pawley, A.R., Fernandes, L.A.D., Porcher, C.C., Soliani Jr., E. (2002)-Pe1-11",74.23,0.23,14.10,1.62,0.01,0.74,1.25,2.10,5.18,,0.53,,,50.61,0.59,8.67,21.89,0.66,16.68,0.35,0.35,0.44,,,0.5,1073.15
"Koester, E., Pawley, A.R., Fernandes, L.A.D., Porcher, C.C., Soliani Jr., E. (2002)-Pe1-15",72.98,0.50,13.95,2.55,,1.02,2.08,1.95,4.30,,0.66,,,49.86,0.53,8.92,17.78,0.54,20.74,0.39,0.54,0.28,,,0.5,1173.15
"Kogi, R., Mèntener, O., Ulmer, P., Ottolini, L. (2005)-RK-Fe1a",45.90,0.80,13.50,8.50,0.19,10.00,11.00,1.52,0.48,,,3.43,,53.30,0.21,3.20,4.60,0.17,18.20,19.90,0.28,,,,1,1473.15
"Kogi, R., Mèntener, O., Ulmer, P., Ottolini, L. (2005)-RK-Fe1b",47.40,0.92,14.00,6.70,0.21,14.00,11.30,1.52,0.53,,,3.76,,54.00,0.22,3.30,4.20,0.16,18.80,20.70,0.24,,,,1,1473.15
"Kogi, R., Mèntener, O., Ulmer, P., Ottolini, L. (2005)-RK-Fe2a",44.80,0.85,14.00,9.20,0.20,9.40,11.00,1.56,0.50,,,3.64,,53.40,0.22,3.20,4.90,0.15,17.90,19.70,0.24,,,,1,1473.15
"Kogi, R., Mèntener, O., Ulmer, P., Ottolini, L. (2005)-RK-Fe2b",47.50,0.91,14.00,5.70,0.20,10.20,11.30,1.49,0.53,,,4.02,,53.60,0.24,2.90,3.60,0.24,19.30,20.50,0.22,0.01,,,1,1473.15
"Kogi, R., Mèntener, O., Ulmer, P., Ottolini, L. (2005)-RK-Fe3b",47.40,0.86,13.20,7.30,0.18,11.10,11.70,1.38,0.49,,,3.27,,53.20,0.19,3.10,4.00,0.16,19.60,19.90,0.25,,,,1,1473.15
"Kogi, R., Mèntener, O., Ulmer, P., Ottolini, L. (2005)-RK-Fe4a",45.00,0.78,13.30,9.70,0.20,9.70,11.00,1.36,0.48,,,3.22,,53.50,0.18,2.90,5.10,0.15,18.50,19.40,0.23,,,,1,1473.15
"Kogi, R., Mèntener, O., Ulmer, P., Ottolini, L. (2005)-RK-Fe4b",46.80,0.89,13.60,7.70,0.20,10.10,11.30,1.50,0.52,,,3.55,,54.00,0.19,2.80,4.50,0.19,19.80,19.70,0.21,0.01,,,1,1473.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A220",46.91,1.30,12.44,12.56,0.14,11.60,13.80,2.11,,,,,,53.57,0.24,3.27,4.80,0.09,17.82,19.83,0.33,,,,1,1623.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A223",49.55,0.61,7.10,10.29,0.11,15.54,16.53,1.15,,,,,,55.46,0.10,1.03,3.35,0.06,19.85,20.54,0.16,,,,1,1673.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A225",47.37,1.32,13.71,11.96,0.13,9.50,12.13,2.97,,,,,,52.09,0.35,4.15,5.13,0.07,17.10,20.29,0.41,,,,1,1573.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A226",49.86,0.55,5.94,9.50,0.10,16.72,16.91,0.91,,,,,,55.82,0.07,0.78,3.07,0.06,20.40,20.56,0.14,,,,1,1698.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A229",48.82,0.81,8.64,11.25,0.11,13.84,15.63,1.37,,,,,,54.66,0.14,1.43,3.81,0.07,19.02,20.67,0.17,,,,1,1648.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A231",47.70,0.99,10.67,11.78,0.15,12.19,14.78,1.76,,,,,,53.97,0.21,2.43,4.46,0.07,18.15,20.28,0.23,,,,1,1623.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A236",47.80,0.98,10.69,11.77,0.14,12.43,14.60,1.91,,,,,,53.99,0.18,2.22,4.28,0.07,18.05,20.41,0.24,,,,1,1623.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A242",51.07,1.33,15.49,9.97,0.10,7.47,9.53,4.57,,,,,,51.53,0.42,5.06,5.57,0.10,16.25,19.43,0.55,,,,1,1523.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A243",47.68,1.10,11.84,10.33,0.14,12.21,13.94,2.23,,,,,,53.77,0.23,2.49,3.84,0.07,18.71,20.40,0.29,,,,1,1623.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A247",48.95,1.30,14.39,9.91,0.13,9.63,11.88,3.40,,,,,,53.04,0.40,3.91,4.32,0.06,17.46,20.10,0.44,,,,1,1573.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A258",47.16,1.35,13.85,13.17,0.15,8.92,10.90,3.32,,,,,,52.59,0.41,4.78,5.60,0.08,16.27,19.91,0.58,,,,1,1573.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A260",48.83,1.61,15.67,12.73,0.11,7.18,8.93,4.94,,,,,,52.09,0.53,5.30,6.04,0.08,15.76,19.69,0.73,,,,1,1523.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A265",47.72,1.25,12.15,11.20,0.13,11.54,13.29,2.29,,,,,,53.53,0.25,3.25,4.33,0.08,17.53,20.74,0.35,,,,1,1623.15
"Kogiso, T., and Hirschmann, M.M. (2001)-A328",49.81,0.78,8.55,8.59,0.14,14.95,15.77,1.55,,,,,,54.66,0.15,1.67,3.09,0.07,19.11,20.52,0.22,,,,1,1673.15
"Kogiso, T., Hirose, K., Takahashi (1998)-1KH-39",50.55,1.96,19.86,6.37,,7.12,5.79,7.29,1.04,0.03,,,,50.93,0.81,9.02,5.82,,18.51,13.34,1.23,,0.34,,1.5,1573.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-22",43.04,3.32,15.45,11.50,,14.26,7.82,3.68,0.87,0.06,,,,52.97,0.54,7.34,6.84,,20.39,9.95,1.82,,0.15,,3,1773.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-26",46.63,1.97,12.68,10.50,,15.57,9.40,2.75,0.42,0.08,,,,53.33,0.54,7.03,5.80,,21.24,10.15,1.50,,0.41,,3,1798.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-29",46.53,1.72,17.26,9.28,,12.17,9.09,3.53,0.37,0.05,,,,52.20,0.34,7.95,6.10,,21.97,10.09,0.83,,0.52,,2,1673.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-31",48.52,1.54,17.72,8.67,,10.37,9.43,3.00,0.28,0.07,,,,53.34,0.30,4.96,6.76,,23.01,10.71,0.49,,0.43,,1.5,1623.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-39",49.09,2.18,19.30,8.24,,7.29,5.95,7.04,0.88,0.03,,,,50.96,0.81,8.84,7.31,,19.05,11.72,1.11,,0.21,,1.5,1573.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-41",43.32,2.94,14.88,11.54,,14.99,6.64,4.84,0.80,0.04,,,,53.67,0.61,6.46,5.90,,20.30,10.92,1.87,,0.25,,3,1773.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-49",45.98,1.65,12.27,10.57,,17.66,8.82,2.55,0.39,0.10,,,,54.58,0.21,5.41,6.20,,24.96,7.28,1.09,,0.27,,3,1798.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-5",47.38,2.50,17.92,10.23,,8.48,5.63,6.25,1.57,0.04,,,,51.39,0.83,9.38,7.57,,19.55,9.49,1.64,,0.15,,2,1623.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-5",49.03,1.82,19.08,8.05,,7.99,5.51,5.91,2.56,0.05,,,,51.48,0.82,9.13,6.56,,19.94,10.14,1.66,,0.28,,2,1623.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-7",45.84,1.83,16.30,10.56,,12.77,8.87,3.38,0.38,0.08,,,,51.63,0.40,8.59,6.96,,21.39,9.76,0.97,,0.29,,2,1673.15
"Kogiso, T., Hirose, K., Takahashi (1998)-KH-8",48.30,1.29,15.80,8.82,,12.76,10.15,2.51,0.26,0.11,,,,51.64,0.44,7.66,5.36,,20.85,12.87,0.62,,0.55,,1.5,1623.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-2",49.79,0.51,18.15,6.02,0.15,9.80,11.86,1.61,2.07,0.04,,,,51.67,0.12,5.13,3.35,0.10,18.77,19.34,0.21,,1.29,,1,1513.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-rev2a",50.47,0.57,18.19,6.02,0.12,9.75,10.83,1.64,2.31,0.09,,,,51.75,0.17,6.01,4.04,0.12,20.49,16.13,0.26,,1.03,,1,1543.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-rev2b",50.51,0.55,17.83,5.91,0.11,10.04,11.19,1.59,2.18,0.09,,,,51.49,0.17,5.94,3.97,0.14,20.46,16.44,0.25,,1.13,,1,1553.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-rev2d",51.05,0.54,18.22,5.85,0.13,9.32,10.42,1.81,2.60,0.06,,,,51.18,0.24,7.30,3.65,0.13,18.91,17.65,0.30,,0.65,,1,1528.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-rev2e",51.06,0.51,18.17,5.82,0.06,9.57,10.62,1.68,2.40,0.10,,,,51.56,0.21,6.90,3.78,0.14,19.64,16.58,0.28,,0.93,,1,1543.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-rev2f",50.96,0.59,19.41,5.67,0.11,8.38,10.07,2.09,2.68,0.04,,,,51.18,0.25,6.89,3.94,0.12,18.42,18.09,0.32,,0.78,,1,1513.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-rev2g",51.22,0.58,18.05,5.96,0.16,9.39,10.57,1.75,2.25,0.08,,,,51.73,0.18,5.56,3.64,0.11,18.94,18.21,0.30,,1.32,,1,1513.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-rev8a",47.92,0.36,16.95,7.52,0.14,12.64,13.54,0.62,0.16,0.16,,,,50.96,0.07,6.61,4.17,0.14,20.61,16.15,0.12,,1.16,,1,1573.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-rev8b",48.33,0.39,16.33,7.41,0.13,12.97,13.52,0.54,0.13,0.24,,,,51.62,0.09,5.89,4.06,0.12,21.13,15.67,0.11,,1.30,,1,1588.15
"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J-L. (2004)-rev8d",48.41,0.37,16.19,7.42,0.15,12.91,13.73,0.50,0.14,0.19,,,,51.90,0.09,5.28,3.94,0.11,20.61,16.54,0.10,,1.43,,1,1573.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (1998)-KYB9",58.66,0.99,20.51,4.26,,1.76,6.87,4.10,2.89,0.03,,,,52.39,0.47,2.99,5.74,0.23,15.90,21.83,0.24,0.03,0.32,,0.0001,1360.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP11",53.35,0.99,17.69,4.99,0.22,7.38,9.75,2.90,1.65,,,,,50.03,0.06,7.81,9.19,0.25,15.32,17.66,0.24,0.06,0.03,,1.5,1513.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP12",52.86,0.85,17.60,5.63,0.17,7.50,9.68,2.78,1.57,0.01,,,,49.06,0.57,6.13,9.58,0.03,16.36,17.88,0.58,0.05,0.17,,1.5,1473.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP14",52.46,0.90,18.52,6.91,0.27,6.69,8.18,3.25,1.83,0.03,,,,50.08,0.35,7.58,6.70,0.26,15.66,18.55,0.92,0.03,0.31,,2,1553.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP15",56.45,1.51,18.21,7.35,0.19,4.07,4.73,3.00,3.76,0.04,,,,50.95,0.86,4.81,6.83,0.19,14.73,20.63,0.32,0.03,0.21,,2,1493.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP16",55.11,0.80,18.40,7.34,0.21,5.81,7.34,3.12,2.22,0.01,,,,51.07,0.58,6.37,7.21,0.23,15.01,18.66,0.65,0.03,0.41,,2,1533.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP2",52.76,0.99,17.65,6.61,0.22,6.73,9.58,2.90,1.69,0.02,,,,48.69,0.62,8.74,9.15,0.31,16.47,15.03,0.73,0.04,0.11,,1,1513.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP3",53.37,1.29,17.06,8.08,0.10,4.62,7.50,2.83,2.93,0.03,,,,48.87,0.69,6.68,9.42,0.24,15.46,17.94,0.62,0.05,0.13,,1,1473.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP5",54.75,0.35,24.01,2.65,0.07,1.41,10.10,4.52,1.99,0.03,,,,47.38,0.91,7.89,11.69,0.24,14.76,15.99,0.89,0.04,,,1,1453.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP8",53.57,0.91,18.53,6.01,0.22,7.02,8.68,3.93,1.88,0.06,,,,49.66,0.05,6.22,8.96,0.24,17.07,17.01,0.20,0.05,0.32,,1.5,1573.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)-KYBP9",53.51,0.92,18.50,6.00,0.19,7.06,8.72,3.93,1.86,0.06,,,,49.06,0.62,7.90,8.31,0.30,14.99,17.92,0.82,0.04,0.27,,2,1598.15
"Longhi, J (1995)-TB593-1",38.00,5.24,7.78,26.20,0.26,11.40,8.48,0.87,0.12,0.42,,,,51.10,0.80,4.81,11.90,0.18,19.00,10.20,0.50,,0.52,,3,1793.15
"Longhi, J (1995)-TB593-2",38.40,4.53,8.13,25.40,0.26,12.10,8.40,0.79,0.08,0.53,,,,51.10,0.74,4.80,11.90,0.17,19.30,9.98,0.46,,0.54,,3,1811.15
"Longhi, J (1995)-TB992-1",38.00,6.25,7.38,28.90,0.41,10.80,7.70,0.80,0.28,0.54,,,,52.00,0.73,4.09,14.80,0.26,20.90,6.74,0.34,,0.53,,3,1763.15
"Longhi, J (1995)-TB992..4",39.10,4.79,8.18,25.80,0.40,11.70,7.98,0.75,0.21,0.65,,,,51.60,0.58,4.13,14.10,0.22,21.60,5.95,0.29,,0.56,,3,1798.15
"Longhi, J. (2002)-MO1295-5",46.60,1.74,13.30,9.53,0.13,13.90,6.00,5.61,2.09,0.11,0.69,,,53.30,0.33,9.10,5.53,0.10,22.90,6.61,1.93,,0.57,,2.8,1791.15
"Longhi, J. (2002)-MO1295-6",46.10,1.80,13.40,9.78,0.13,13.50,6.00,5.57,2.17,0.09,0.73,,,53.80,0.33,8.27,5.55,0.11,22.50,6.94,2.04,,0.54,,2.8,1781.15
"Longhi, J. (2002)-MO1295-7",46.50,1.72,13.20,9.44,0.12,13.90,6.03,6.04,2.07,0.13,0.72,,,54.70,0.32,8.06,5.61,0.10,23.70,6.63,1.85,,0.51,,2.8,1784.15
"Longhi, J. (2002)-MO1295-8",46.40,1.79,14.30,8.97,0.11,12.90,6.11,5.10,1.94,0.14,0.63,,,52.40,0.31,8.40,5.79,0.08,23.10,6.47,1.58,,0.80,,2.4,1758.15
"Longhi, J. (2002)-MO695-4",46.20,1.47,12.20,11.50,0.17,14.70,6.03,4.78,1.19,0.21,0.62,,,53.60,0.26,7.06,6.69,0.16,24.00,5.10,1.69,,0.75,,2.8,1783.15
"Longhi, J. (2002)-MO895-4",45.50,2.01,13.10,10.60,0.12,12.10,6.10,6.07,2.31,0.06,0.77,,,52.50,0.40,8.95,5.38,0.11,19.10,9.31,2.44,,0.63,,2.8,1773.15
"Longhi, J. (2002)-TM294-2",46.00,1.39,12.80,12.50,0.22,14.80,6.83,3.94,0.50,0.33,0.20,,,54.00,0.29,6.88,7.44,0.16,24.40,5.35,1.22,,0.61,,2.8,1838.15
"Longhi, J. (2002)-TM295-2",45.40,2.09,12.40,12.60,0.12,15.00,7.31,3.04,0.89,0.20,0.25,,,52.80,0.36,7.93,6.77,0.10,23.10,6.68,1.29,,0.55,,2.8,1818.15
"Longhi, J. (2002)-TM295-3",45.00,1.57,13.10,11.50,0.12,16.00,7.48,2.94,0.66,0.29,0.24,,,51.80,0.28,8.06,6.32,0.07,24.00,5.66,1.17,,0.75,,2.8,1813.15
"Longhi, J. (2002)-TM295-4",45.50,1.65,12.50,11.60,0.10,15.70,7.38,2.95,0.61,0.24,0.21,,,53.80,0.16,5.86,6.65,0.09,29.80,1.94,0.43,,0.62,,2.8,1813.15
"Longhi, J. (2002)-TM694-5",44.40,2.08,11.90,15.50,0.10,12.50,6.61,4.59,0.83,0.16,0.35,,,53.50,0.51,8.20,7.98,0.17,19.10,8.77,2.15,,0.56,,2.8,1768.15
"Longhi, J., Pan, V. (1989)-EAWo0-2",50.24,0.95,8.03,17.15,0.48,10.07,9.74,1.06,,0.15,,,,55.20,0.09,0.50,13.86,0.51,27.57,2.15,0.03,,0.40,,0.0001,1513.15
"Longhi, J., Pan, V. (1989)-EAWo0-5",49.86,1.07,9.13,16.62,0.50,8.44,10.92,1.12,,0.22,,,,54.04,0.17,0.92,14.66,0.53,25.66,3.09,0.03,,0.41,,0.0001,1488.15
"Longhi, J., Pan, V. (1989)-EAWo15-2",49.69,0.71,6.05,15.31,0.42,10.75,12.98,0.77,,0.19,,,,53.25,0.15,0.91,8.04,0.34,19.26,16.55,0.15,,0.73,,0.0001,1513.15
"Longhi, J., Pan, V. (1989)-EAWo20-l",48.42,0.87,7.33,17.97,0.46,9.25,13.33,0.73,,0.15,,,,53.66,0.13,0.85,7.76,0.31,17.85,18.79,0.20,,0.75,,0.0001,1488.15
"Maaloe, S (2004)-14",43.40,2.70,17.20,13.90,,9.30,10.00,2.60,,0.10,,,,47.50,0.90,10.60,9.00,,18.20,12.20,0.70,,0.30,,2,1673.15
"Mahood, G.A., Baker, D.R. (1986)-Ia-909",45.20,4.75,15.20,12.70,0.17,4.66,8.04,4.37,2.29,,1.43,,,47.00,2.69,8.77,7.27,0.16,13.50,19.30,0.70,0.05,,,0.8,1398.15
"Mahood, G.A., Baker, D.R. (1986)-Ia-919",46.80,4.03,15.90,11.20,0.16,3.81,6.61,5.05,3.42,,1.65,,,47.90,2.82,7.46,9.14,0.18,11.60,19.50,1.02,,,,0.8,1373.15
"Mahood, G.A., Baker, D.R. (1986)-Ia-948",44.60,4.81,15.00,13.50,0.20,4.38,8.11,4.49,2.39,,1.87,,,47.10,3.01,8.64,7.69,0.15,12.70,18.70,0.74,0.01,,,0.8,1373.15
"Mahood, G.A., Baker, D.R. (1986)-PSU-10",47.90,4.55,14.60,11.70,0.28,3.69,8.47,4.36,2.82,,2.03,,,46.80,3.54,6.35,8.52,0.03,13.30,20.60,0.40,0.03,,,0.0001,1349.15
"Mahood, G.A., Baker, D.R. (1986)-PSU-12",50.50,2.77,15.80,8.16,0.07,3.41,6.04,5.19,3.96,,3.05,,,43.40,4.61,9.55,9.30,0.02,12.10,20.10,0.51,0.01,,,0.0001,1328.15
"Mahood, G.A., Baker, D.R. (1986)-PSU-8",46.10,5.09,13.40,13.30,0.22,4.31,10.10,3.50,2.08,,1.61,,,45.00,4.12,7.81,7.35,0.11,13.00,21.00,0.36,0.01,,,0.0001,1373.15
"Mahood, G.A., Baker, D.R. (1986)-SI-1",45.60,5.09,14.30,12.20,,4.70,9.38,4.20,2.01,,1.43,,,48.90,2.96,5.39,8.11,,13.80,21.90,0.59,,,,0.0001,1396.15
"Mahood, G.A., Baker, D.R. (1986)-SI-13",48.50,4.32,13.30,13.50,,3.70,8.35,4.11,2.45,,1.88,,,49.40,2.57,4.50,9.67,,13.00,21.00,0.57,0.07,,,0.0001,1364.15
"Mahood, G.A., Baker, D.R. (1986)-SI-2",47.80,4.39,13.20,13.20,,4.48,9.17,3.75,1.77,,1.36,,,49.10,1.80,3.94,8.13,,13.90,21.00,0.39,,,,0.0001,1396.15
"Mahood, G.A., Baker, D.R. (1986)-STAN-11",50.30,1.53,18.50,7.58,0.14,3.28,4.32,6.51,5.10,,2.69,,,44.50,3.66,9.34,8.65,0.15,11.50,20.10,0.55,0.14,,,0.0001,1299.15
"Mahood, G.A., Baker, D.R. (1986)-STAN-9",45.80,4.33,14.10,11.70,0.17,4.90,10.50,3.98,1.70,,1.36,,,49.30,2.38,4.16,7.64,0.16,13.50,21.70,0.44,0.05,,,0.0001,1399.15
"Mahood, G.A., Baker, D.R. (1986)-ta-892",45.10,3.91,15.70,11.40,0.21,5.60,9.25,3.97,1.62,,1.23,,,47.70,2.42,7.98,6.38,0.12,13.80,19.80,0.70,,,,0.8,1423.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)-D29/3",68.25,0.34,13.11,2.50,0.16,0.54,2.90,3.29,2.03,,,6.90,,51.20,0.41,2.49,13.67,0.87,13.37,17.25,0.44,0.05,,,0.213,1149.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)-P1D/1",66.52,0.39,13.79,3.22,0.08,0.60,3.55,3.50,1.45,,,6.90,,51.11,0.43,3.00,11.67,0.74,13.63,18.99,0.35,0.03,,,0.213,1149.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)-PID/21",,,,,,,,,,,,6.90,,49.19,0.83,6.16,18.26,0.96,13.39,10.83,0.44,0.10,,,0.2117,1223.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)-PID/5",65.86,0.35,14.35,3.53,0.17,1.01,4.05,3.83,1.34,,,5.50,,51.03,0.38,2.56,11.87,0.63,13.73,18.98,0.25,0.01,,,0.198,1173.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)-PIR/12",45.05,0.01,30.34,0.70,,0.04,15.92,1.85,0.07,,,6.45,,51.90,0.32,2.52,7.75,0.59,16.06,20.74,0.19,0.02,,,0.2265,1203.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)-PIR/5",68.19,0.41,14.17,2.63,0.15,0.33,3.37,3.09,2.09,,,5.60,,52.41,0.36,2.15,14.00,0.68,15.84,14.05,0.17,0.04,,,0.2205,1176.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)-PIR/8",66.19,0.53,15.12,2.84,0.20,0.22,4.03,3.25,1.41,,,6.20,,50.44,0.51,2.52,13.78,0.51,12.94,17.79,0.20,0.01,,,0.2112,1175.15
Masotta et al. (2012)-SVD-19           ,54.40,0.50,20.83,4.05,0.13,0.91,5.08,3.28,10.40,0.00,0.41,2.22,,43.36,1.44,9.41,12.65,0.25,8.30,22.87,0.32,0.19,0.00,,0.3,1223.15
Masotta et al. (2012)-SVD-21            ,55.32,0.41,21.20,2.83,0.12,0.50,4.21,3.69,11.16,0.00,0.56,2.89,,42.84,1.50,10.75,13.25,0.26,6.89,22.24,0.49,0.51,0.00,,0.3,1173.15
Masotta et al. (2012)-SVD-29          ,52.57,0.73,19.22,5.88,0.16,1.92,7.46,2.72,8.90,0.00,0.43,2.00,,43.48,1.32,9.18,11.36,0.20,9.90,23.44,0.30,0.15,0.00,,0.3,1273.15
"Masotta et al., (2013)-TGVT-1",59.63,0.42,21.23,2.33,0.14,0.20,2.57,4.35,9.11,0.00,0.03,5.15,,41.70,1.64,9.73,14.28,0.52,6.19,22.08,0.45,0.23,0.00,,0.2,1123.15
