Initial Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,
Author - year - id,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K
Andujar et al. (2010)-LN-25,61.30,0.44,19.30,2.53,0.16,0.30,0.82,9.20,5.80,0.00,0.00,1.90,,48.40,1.90,3.82,10.11,0.75,12.80,20.70,1.54,0.00,0.00,,0.1,1198.15
Andujar et al. (2010)-LN-30,61.50,0.33,19.60,2.34,0.18,0.22,0.70,9.30,5.80,0.00,0.00,3.70,,50.10,1.50,2.48,9.69,0.98,12.60,21.00,1.66,0.00,0.00,,0.2,1148.15
"Auwera, J. V., and Longhi, J. (1994)-TJ-10",49.40,4.09,15.80,13.20,0.13,3.47,6.40,3.72,1.24,,0.85,,,47.30,1.78,8.86,14.10,0.22,12.90,13.10,1.14,,0.03,,1.3,1433.15
"Auwera, J. V., and Longhi, J. (1994)-TJ-13",48.60,3.49,15.50,14.00,0.12,2.96,6.44,3.14,1.46,,1.38,,,48.80,1.40,7.59,16.40,0.22,12.70,12.30,0.85,,0.02,,1.3,1403.15
"Auwera, J. V., and Longhi, J. (1994)-TJ-14",50.60,4.18,15.60,11.70,0.10,3.37,6.59,3.93,1.10,0.01,1.34,,,48.60,1.87,10.20,12.00,0.16,12.60,14.30,1.77,,0.03,,1.6,1473.15
"Auwera, J. V., and Longhi, J. (1994)-TJ-33/2",66.10,2.14,13.40,5.81,0.10,1.63,3.73,2.28,2.88,,1.05,,,51.40,0.80,1.75,10.90,0.29,13.90,19.80,0.33,,0.01,,0.0001,1344.15
"Auwera, J. V., and Longhi, J. (1994)-TJ-34",60.70,2.34,13.20,7.25,0.16,2.98,5.77,2.79,2.20,,1.72,,,52.50,0.33,1.58,9.89,0.24,13.29,22.50,0.37,,0.05,,0.0001,1358.15
"Auwera, J. V., and Longhi, J. (1994)-TJ-35",51.00,4.27,16.40,12.60,0.26,4.22,6.71,3.57,1.03,0.14,0.87,,,48.26,1.35,9.69,14.90,0.25,14.10,9.52,1.14,,0.06,,1.6,1488.15
"Auwera, J. V., and Longhi, J. (1994)-TJ-4",47.10,4.21,12.00,17.80,0.18,3.40,7.28,2.93,2.02,,2.32,,,50.60,0.83,1.81,24.40,0.33,16.90,4.15,0.17,,0.01,,0.7,1368.15
"Auwera, J. V., and Longhi, J. (1994)-TJ-47",50.20,4.42,11.50,15.10,0.19,3.39,7.06,3.65,1.69,0.03,1.42,,,50.40,0.90,1.21,22.50,0.31,17.90,4.80,0.11,,0.05,,0.5,1373.15
